Playlist-Name;Playlist-ID;Video-Ids;Comment;Link
StartShrimp;PLtOOfefuLDNGNaxnWLoa2k_B6-UHX22zq;;StarterPlaylist 1 vid;
xGoodDaily;PLtOOfefuLDNHBa4j63QK7I5C-yCeWszkR;;"Daily PL 1

";https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNHBa4j63QK7I5C-yCeWszkR
xDokus;PLtOOfefuLDNHab78iV7Q1qeRqTMHd03Dd;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNHab78iV7Q1qeRqTMHd03Dd
xHorror-xStaWa;PLtOOfefuLDNFewMMIMcBSUMco8q6eHedE;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNFewMMIMcBSUMco8q6eHedE
xMyStrange;PLtOOfefuLDNFDAel1BOITvbpxhNLBH4hT;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNFDAel1BOITvbpxhNLBH4hT
xEndless-new-on-top;PLtOOfefuLDNE_b0JeB_MXIIE8_82TxcAS;;Daily PL 2;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNE_b0JeB_MXIIE8_82TxcAS
xWatchlistEndless;PLtOOfefuLDNGTHVPFATapApEGIjyxXD_E;;geht nicht;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNGTHVPFATapApEGIjyxXD_E
xAudiobooks;PLtOOfefuLDNHcFKKv_QGS_fNsCZKgkvVq;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNHcFKKv_QGS_fNsCZKgkvVq
xComic;PLtOOfefuLDNH2WWuxa9x9J9nEbvDNFy1q;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNH2WWuxa9x9J9nEbvDNFy1q
xMilitaria;PLtOOfefuLDNGneMY2IPBcHRLU5evzlT0V;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNGneMY2IPBcHRLU5evzlT0V
XXX;PLtOOfefuLDNFPiPpKNTzBCHRiHdRadrCx;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNFPiPpKNTzBCHRiHdRadrCx
XXX1;PLtOOfefuLDNHTqyRyS5tYnwpytUQq-zWJ;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNHTqyRyS5tYnwpytUQq-zWJ
XXX4;PLtOOfefuLDNE0f_b6xiazpveTV8lCqTG2;;;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNE0f_b6xiazpveTV8lCqTG2
xPapa;PLtOOfefuLDNFiQOmArV1Pemj06T8EYx0D;;Fuer Papa;https://shrimptube.firebaseapp.com/index.html?playlist=PLtOOfefuLDNFiQOmArV1Pemj06T8EYx0D
Paragliding Tutorials;PLMehjcf9-VFQiFy3zlZQ3e4Hpe0s1t-B_;;3rd PARTY LIST;https://shrimptube.firebaseapp.com/index.html?playlist=PLMehjcf9-VFQiFy3zlZQ3e4Hpe0s1t-B_
vids-id-list;;ezPfDIYb3V0,NY0ok7cVjCs;einzelne clips;https://shrimptube.firebaseapp.com/index.html?playlist=ezPfDIYb3V0,NY0ok7cVjCs
